Subject,Day,Condition,Threshold,FA_Rate
SUBJ-ID-1090,2,drGFP-Cre (IC) + Casp3 (ACx),-18.1064,0.053763
SUBJ-ID-1090,3,drGFP-Cre (IC) + Casp3 (ACx),-17.5788,0.060317
SUBJ-ID-1090,4,drGFP-Cre (IC) + Casp3 (ACx),-19.8707,0.05597
SUBJ-ID-1090,5,drGFP-Cre (IC) + Casp3 (ACx),-18.9515,0.069091
SUBJ-ID-1090,6,drGFP-Cre (IC) + Casp3 (ACx),-17.7561,0.01049
SUBJ-ID-1090,7,drGFP-Cre (IC) + Casp3 (ACx),-24.8187,0.099291
SUBJ-ID-1090,8,drGFP-Cre (IC) + Casp3 (ACx),-20.6602,0.097276
SUBJ-ID-1090,9,drGFP-Cre (IC) + Casp3 (ACx),-16.85,0.067194
SUBJ-ID-1090,10,drGFP-Cre (IC) + Casp3 (ACx),-18.8501,0.051282
SUBJ-ID-1122,1,drGFP-Cre (IC) + Casp3 (ACx),-10.0075,0.060932
SUBJ-ID-1122,2,drGFP-Cre (IC) + Casp3 (ACx),-11.7911,0.06015
SUBJ-ID-1122,3,drGFP-Cre (IC) + Casp3 (ACx),-11.6945,0.069565
SUBJ-ID-1122,4,drGFP-Cre (IC) + Casp3 (ACx),-12.9102,0.040293
SUBJ-ID-1122,5,drGFP-Cre (IC) + Casp3 (ACx),-15.0486,0.074803
SUBJ-ID-1122,6,drGFP-Cre (IC) + Casp3 (ACx),-16.3945,0.072289
SUBJ-ID-1122,7,drGFP-Cre (IC) + Casp3 (ACx),-13.7637,0.062762
SUBJ-ID-1122,8,drGFP-Cre (IC) + Casp3 (ACx),-15.6615,0.025735
SUBJ-ID-1122,9,drGFP-Cre (IC) + Casp3 (ACx),-17.5496,0.057047
SUBJ-ID-1122,10,drGFP-Cre (IC) + Casp3 (ACx),-17.1053,0.042735
SUBJ-ID-1142,1,drGFP-Cre (IC) + Casp3 (ACx),-9.12004,0.018987
SUBJ-ID-1142,2,drGFP-Cre (IC) + Casp3 (ACx),-13.6426,0.042484
SUBJ-ID-1142,3,drGFP-Cre (IC) + Casp3 (ACx),-13.6227,0.033445
SUBJ-ID-1142,4,drGFP-Cre (IC) + Casp3 (ACx),-12.3504,0.015291
SUBJ-ID-1142,5,drGFP-Cre (IC) + Casp3 (ACx),-12.8994,0.019544
SUBJ-ID-1142,6,drGFP-Cre (IC) + Casp3 (ACx),-13.5052,0.018072
SUBJ-ID-1142,7,drGFP-Cre (IC) + Casp3 (ACx),-14.361,0.026012
SUBJ-ID-1142,8,drGFP-Cre (IC) + Casp3 (ACx),-14.1651,0.039275
SUBJ-ID-1142,9,drGFP-Cre (IC) + Casp3 (ACx),-17.0572,0.041162
SUBJ-ID-1142,10,drGFP-Cre (IC) + Casp3 (ACx),-14.2107,0.045181
SUBJ-ID-1143,1,drGFP-Cre (IC) + Casp3 (ACx),-7.68175,0.089337
SUBJ-ID-1143,2,drGFP-Cre (IC) + Casp3 (ACx),-9.23658,0.07837
SUBJ-ID-1143,3,drGFP-Cre (IC) + Casp3 (ACx),-9.85052,0.07767
SUBJ-ID-1143,4,drGFP-Cre (IC) + Casp3 (ACx),-9.88199,0.063584
SUBJ-ID-1143,5,drGFP-Cre (IC) + Casp3 (ACx),-7.49435,0.015625
SUBJ-ID-1143,6,drGFP-Cre (IC) + Casp3 (ACx),-10.7621,0.045732
SUBJ-ID-1143,7,drGFP-Cre (IC) + Casp3 (ACx),-11.3594,0.018927
SUBJ-ID-1143,8,drGFP-Cre (IC) + Casp3 (ACx),-13.0753,0.049563
SUBJ-ID-1143,9,drGFP-Cre (IC) + Casp3 (ACx),-13.2463,0.042071
SUBJ-ID-1143,10,drGFP-Cre (IC) + Casp3 (ACx),-10.9644,0.016667
SUBJ-ID-986,1,drGFP-Cre (IC) + Casp3 (ACx),-10.8039,0.0079051
SUBJ-ID-986,2,drGFP-Cre (IC) + Casp3 (ACx),-9.56395,0.072816
SUBJ-ID-986,3,drGFP-Cre (IC) + Casp3 (ACx),-9.62872,0.18605
SUBJ-ID-986,4,drGFP-Cre (IC) + Casp3 (ACx),-12.5639,0.023333
SUBJ-ID-986,5,drGFP-Cre (IC) + Casp3 (ACx),-12.6789,0.087838
SUBJ-ID-986,6,drGFP-Cre (IC) + Casp3 (ACx),-17.4617,0.055394
SUBJ-ID-986,7,drGFP-Cre (IC) + Casp3 (ACx),-15.0832,0.092857
SUBJ-ID-986,8,drGFP-Cre (IC) + Casp3 (ACx),-18.4664,0.092308
SUBJ-ID-986,9,drGFP-Cre (IC) + Casp3 (ACx),-18.3449,0.030612
SUBJ-ID-986,10,drGFP-Cre (IC) + Casp3 (ACx),-16.8123,0.087121
SUBJ-ID-987,1,drGFP-Cre (IC) + Casp3 (ACx),-7.32376,0.064588
SUBJ-ID-987,2,drGFP-Cre (IC) + Casp3 (ACx),-9.71386,0.080882
SUBJ-ID-987,3,drGFP-Cre (IC) + Casp3 (ACx),-9.13568,0.099099
SUBJ-ID-987,4,drGFP-Cre (IC) + Casp3 (ACx),-7.98488,0.13636
SUBJ-ID-987,5,drGFP-Cre (IC) + Casp3 (ACx),-10.9676,0.063725
SUBJ-ID-987,6,drGFP-Cre (IC) + Casp3 (ACx),-8.60391,0.14286
SUBJ-ID-987,7,drGFP-Cre (IC) + Casp3 (ACx),-13.9425,0.05283
SUBJ-ID-987,8,drGFP-Cre (IC) + Casp3 (ACx),-20.0329,0.065934
SUBJ-ID-987,9,drGFP-Cre (IC) + Casp3 (ACx),-14.1251,0.10363
SUBJ-ID-987,10,drGFP-Cre (IC) + Casp3 (ACx),-15.5504,0.04918
SUBJ-ID-996,1,drGFP-Cre (IC) + Casp3 (ACx),-7.59991,0.007722
SUBJ-ID-996,2,drGFP-Cre (IC) + Casp3 (ACx),-10.068,0.023973
SUBJ-ID-996,3,drGFP-Cre (IC) + Casp3 (ACx),-11.9644,0.082677
SUBJ-ID-996,4,drGFP-Cre (IC) + Casp3 (ACx),-11.7376,0.017045
SUBJ-ID-996,5,drGFP-Cre (IC) + Casp3 (ACx),-13.9542,0.045946
SUBJ-ID-996,6,drGFP-Cre (IC) + Casp3 (ACx),-12.4626,0.050473
SUBJ-ID-996,7,drGFP-Cre (IC) + Casp3 (ACx),-16.0045,0.027668
SUBJ-ID-996,8,drGFP-Cre (IC) + Casp3 (ACx),-13.9523,0.071942
SUBJ-ID-996,9,drGFP-Cre (IC) + Casp3 (ACx),-14.6673,0.0037313
SUBJ-ID-996,10,drGFP-Cre (IC) + Casp3 (ACx),-17.8962,0.023166
SUBJ-ID-1032,1,drGFP-Cre (IC) + Saline (ACx),-7.97194,0.072131
SUBJ-ID-1032,2,drGFP-Cre (IC) + Saline (ACx),-6.38184,0.015198
SUBJ-ID-1032,3,drGFP-Cre (IC) + Saline (ACx),-13.9304,0.01049
SUBJ-ID-1032,4,drGFP-Cre (IC) + Saline (ACx),-14.9509,0.045614
SUBJ-ID-1032,5,drGFP-Cre (IC) + Saline (ACx),-10.5152,0.043046
SUBJ-ID-1032,6,drGFP-Cre (IC) + Saline (ACx),-13.085,0.021661
SUBJ-ID-1032,7,drGFP-Cre (IC) + Saline (ACx),-14.3772,0.018634
SUBJ-ID-1032,8,drGFP-Cre (IC) + Saline (ACx),-13.0887,0.003861
SUBJ-ID-1032,9,drGFP-Cre (IC) + Saline (ACx),-11.7372,0.0068729
SUBJ-ID-1032,10,drGFP-Cre (IC) + Saline (ACx),-16.8681,0.019231
SUBJ-ID-1063,1,drGFP-Cre (IC) + Saline (ACx),-11.6895,0.011429
SUBJ-ID-1063,2,drGFP-Cre (IC) + Saline (ACx),-16.9039,0.031161
SUBJ-ID-1063,3,drGFP-Cre (IC) + Saline (ACx),-15.6737,0.078292
SUBJ-ID-1063,4,drGFP-Cre (IC) + Saline (ACx),-14.762,0.095101
SUBJ-ID-1063,5,drGFP-Cre (IC) + Saline (ACx),-16.3352,0.0091185
SUBJ-ID-1063,6,drGFP-Cre (IC) + Saline (ACx),-18.3972,0.082781
SUBJ-ID-1063,7,drGFP-Cre (IC) + Saline (ACx),-19.1735,0.10303
SUBJ-ID-1063,8,drGFP-Cre (IC) + Saline (ACx),-15.767,0.025078
SUBJ-ID-1063,9,drGFP-Cre (IC) + Saline (ACx),-17.2776,0.014205
SUBJ-ID-1063,10,drGFP-Cre (IC) + Saline (ACx),-20.6916,0.037901
SUBJ-ID-1073,1,drGFP-Cre (IC) + Saline (ACx),-13.6383,0.071429
SUBJ-ID-1073,2,drGFP-Cre (IC) + Saline (ACx),-9.88511,0.019737
SUBJ-ID-1073,3,drGFP-Cre (IC) + Saline (ACx),-7.1676,0.013423
SUBJ-ID-1073,4,drGFP-Cre (IC) + Saline (ACx),-10.1058,0.024169
SUBJ-ID-1073,5,drGFP-Cre (IC) + Saline (ACx),-12.1139,0.017413
SUBJ-ID-1073,6,drGFP-Cre (IC) + Saline (ACx),-13.794,0.02454
SUBJ-ID-1073,7,drGFP-Cre (IC) + Saline (ACx),-15.8883,0.036789
SUBJ-ID-1073,8,drGFP-Cre (IC) + Saline (ACx),-13.5361,0.033784
SUBJ-ID-1073,9,drGFP-Cre (IC) + Saline (ACx),-17.0197,0.081967
SUBJ-ID-1073,10,drGFP-Cre (IC) + Saline (ACx),-14.8684,0.078212
SUBJ-ID-1123,1,drGFP-Cre (IC) + Saline (ACx),-10.2479,0.05283
SUBJ-ID-1123,2,drGFP-Cre (IC) + Saline (ACx),-11.0654,0.021201
SUBJ-ID-1123,3,drGFP-Cre (IC) + Saline (ACx),-13.1177,0.025641
SUBJ-ID-1123,4,drGFP-Cre (IC) + Saline (ACx),-14.3162,0.013072
SUBJ-ID-1123,5,drGFP-Cre (IC) + Saline (ACx),-13.7335,0.027211
SUBJ-ID-1123,6,drGFP-Cre (IC) + Saline (ACx),-14.2466,0.018051
SUBJ-ID-1123,7,drGFP-Cre (IC) + Saline (ACx),-16.7022,0.032609
SUBJ-ID-1123,8,drGFP-Cre (IC) + Saline (ACx),-15.129,0.025362
SUBJ-ID-1123,9,drGFP-Cre (IC) + Saline (ACx),-16.3792,0.05314
SUBJ-ID-1123,10,drGFP-Cre (IC) + Saline (ACx),-17.3996,0.046832
SUBJ-ID-1129,1,drGFP-Cre (IC) + Saline (ACx),-10.7509,0.099398
SUBJ-ID-1129,2,drGFP-Cre (IC) + Saline (ACx),-10.393,0.12625
SUBJ-ID-1129,3,drGFP-Cre (IC) + Saline (ACx),-13.8301,0.070288
SUBJ-ID-1129,4,drGFP-Cre (IC) + Saline (ACx),-14.3639,0.085575
